FLTID,REG,ADEP,ADES,ALDT,AIBT,SIBT,FLTRUL,TYPE,WTC,RWY,STND,SRC_PHASE,SAM_ID,C40_CROSS_TIME,C40_CROSS_LAT,C40_CROSS_LON,C40_CROSS_FL,C100_CROSS_TIME,C100_CROSS_LAT,C100_CROSS_LON,C100_CROSS_FL
BAW80KA,GEUUK,BIKF,EGLL,2018-06-10T13:29:00Z,2018-06-10T13:36:00Z,2018-06-10T13:55:00Z,IFR,A320,MJ,09L,509,ARR,219169410,2018-06-10T13:16:21Z,52.015,-1.0961111111111101,143,2018-06-10T13:06:59Z,52.877777777777794,-1.92805555555556,318
IBE31PY,ECLUL,LEMD,EGLL,2018-06-10T13:33:00Z,2018-06-10T13:51:00Z,2018-06-10T14:00:00Z,IFR,A320,MJ,09L,511,ARR,219170844,2018-06-10T13:16:56Z,50.8952777777778,-0.9752777777777779,135,2018-06-10T13:07:52Z,49.99888888888891,-1.6697222222222199,329
VIR24M,GVBEL,KLAX,EGLL,2018-06-10T13:36:00Z,2018-06-10T13:49:00Z,2018-06-10T14:00:00Z,IFR,B789,H,09L,322,ARR,219157747,2018-06-10T13:19:26Z,51.91027777777779,-1.28111111111111,153,2018-06-10T13:11:00Z,52.743333333333304,-2.2227777777777806,319
EIN16Y,EIDVM,EIDW,EGLL,2018-06-10T14:01:00Z,2018-06-10T14:08:00Z,2018-06-10T14:05:00Z,IFR,A320,MJ,09L,221R,ARR,219172738,2018-06-10T13:46:02Z,52.0111111111111,-1.10583333333333,157,2018-06-10T13:36:44Z,52.814722222222194,-2.0777777777777806,320
CSN303,B2737,ZGGG,EGLL,2018-06-10T15:17:00Z,2018-06-10T15:31:00Z,2018-06-10T14:05:00Z,IFR,B788,H,09L,409,ARR,219157376,2018-06-10T14:50:47Z,51.5675,0.602777777777778,120,2018-06-10T14:40:00Z,51.7405555555556,2.18888888888889,301
BAW347,GBNWZ,LFMN,EGLL,2018-06-10T14:20:00Z,2018-06-10T14:32:00Z,2018-06-10T14:05:00Z,IFR,B763,H,09L,552,ARR,219171306,2018-06-10T13:55:14Z,51.627500000000005,0.5872222222222219,142,2018-06-10T13:43:54Z,51.718333333333305,2.1947222222222202,294
JAI116,VTJEU,VABB,EGLL,2018-06-10T13:51:00Z,2018-06-10T14:03:00Z,2018-06-10T14:10:00Z,IFR,B77W,H,09L,407,ARR,219158482,2018-06-10T13:35:30Z,51.6797222222222,0.5636111111111111,119,2018-06-10T13:26:09Z,51.69638888888891,2.2027777777777806,290
FIN7HX,OHLVD,EFHK,EGLL,2018-06-10T13:58:00Z,2018-06-10T14:15:00Z,2018-06-10T14:10:00Z,IFR,A319,MJ,09L,332,ARR,219169879,2018-06-10T13:40:58Z,51.680277777777796,0.562222222222222,128,2018-06-10T13:29:47Z,51.8272222222222,2.1675000000000004,315
CPA257,BKPO,VHHH,EGLL,2018-06-10T13:40:00Z,2018-06-10T13:46:00Z,2018-06-10T14:15:00Z,IFR,B77W,H,09L,331,ARR,219156710,2018-06-10T13:22:37Z,51.5825,0.600555555555556,143,2018-06-10T13:12:49Z,51.83944444444439,2.16194444444444,313
TAM8084,PTMUC,SBGR,EGLL,2018-06-10T13:45:00Z,2018-06-10T13:49:00Z,2018-06-10T14:15:00Z,IFR,B77W,H,09L,334,ARR,219157312,2018-06-10T13:29:40Z,50.930277777777796,-1.0675,146,2018-06-10T13:19:51Z,50.0027777777778,-1.68472222222222,299
SHT3F,GEUYR,EGCC,EGLL,2018-06-10T13:54:00Z,2018-06-10T14:00:00Z,2018-06-10T14:15:00Z,IFR,A320,MJ,09L,502,ARR,219173729,2018-06-10T13:41:01Z,52.02888888888891,-1.0663888888888902,153,2018-06-10T13:31:33Z,52.8230555555555,-2.06083333333333,184
BAW575,GEUPW,LIML,EGLL,2018-06-10T15:30:00Z,2018-06-10T15:35:00Z,2018-06-10T14:15:00Z,IFR,A319,MJ,09L,517,ARR,219171979,2018-06-10T15:06:44Z,51.0733333333333,0.38277777777777805,147,2018-06-10T14:56:53Z,50.3605555555555,1.4980555555555601,325
BAW256,GCIVF,VIDP,EGLL,2018-06-10T14:09:00Z,2018-06-10T14:22:00Z,2018-06-10T14:20:00Z,IFR,B744,H,09L,534,ARR,219159022,2018-06-10T13:50:08Z,51.64166666666669,0.5811111111111109,124,2018-06-10T13:40:32Z,51.694166666666696,2.20166666666667,311
GFA003,A9CKA,OBBI,EGLL,2018-06-10T14:30:00Z,2018-06-10T14:50:00Z,2018-06-10T14:20:00Z,IFR,A332,H,09L,402,ARR,219162706,2018-06-10T14:11:14Z,51.680277777777796,0.562777777777778,128,2018-06-10T14:00:15Z,51.7852777777778,2.1802777777777806,304
BAW435,GEUPG,EHAM,EGLL,2018-06-10T13:55:00Z,2018-06-10T14:00:00Z,2018-06-10T14:20:00Z,IFR,A319,MJ,09L,562,ARR,219173174,2018-06-10T13:39:02Z,51.680277777777796,0.562222222222222,123,2018-06-10T13:27:50Z,51.73833333333331,2.19222222222222,240
BAW72A,GSTBB,KSAN,EGLL,2018-06-10T14:04:00Z,2018-06-10T14:11:00Z,2018-06-10T14:20:00Z,IFR,B77W,H,09L,564,ARR,219157759,2018-06-10T13:50:20Z,52.03416666666669,-1.0519444444444397,158,2018-06-10T13:41:31Z,52.75416666666669,-2.2041666666666706,290
SHT9J,GEUYO,EGPH,EGLL,2018-06-10T14:13:00Z,2018-06-10T14:19:00Z,2018-06-10T14:25:00Z,IFR,A320,MJ,09L,506,ARR,219173100,2018-06-10T13:52:20Z,51.9311111111111,-1.24666666666667,148,2018-06-10T13:42:31Z,52.7897222222222,-2.12444444444444,311
BAW639,GEUYK,LGAV,EGLL,2018-06-10T14:12:00Z,2018-06-10T14:24:00Z,2018-06-10T14:25:00Z,IFR,A320,MJ,09L,519,ARR,219168340,2018-06-10T13:51:08Z,51.0605555555556,0.36777777777777804,143,2018-06-10T13:42:07Z,50.3897222222222,1.5397222222222198,320
