FLTID,REG,ADEP,ADES,ATOT,AOBT,SOBT,FLTRUL,TYPE,WTC,RWY,STND,SRC_PHASE,SAM_ID,C40_CROSS_TIME,C40_CROSS_LAT,C40_CROSS_LON,C40_CROSS_FL,C100_CROSS_TIME,C100_CROSS_LAT,C100_CROSS_LON,C100_CROSS_FL
VIR141,GVNYL,EGLL,KLAX,2018-06-10T12:04:00Z,2018-06-10T11:41:00Z,2018-06-10T11:35:00Z,IFR,B789,H,09R,318,DEP,219170845,2018-06-10T12:14:02Z,51.628611111111105,-1.50277777777778,179,2018-06-10T12:21:59Z,51.9797222222222,-3.0194444444444395,290
AUA96LU,OELBW,EGLL,LOWW,2018-06-10T13:08:00Z,2018-06-10T12:58:00Z,2018-06-10T11:40:00Z,IFR,A320,MJ,09R,218L,DEP,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAW952M,GEUPE,EGLL,EDDM,2018-06-10T12:18:00Z,2018-06-10T11:53:00Z,2018-06-10T11:40:00Z,IFR,A319,MJ,09R,515,DEP,219170864,2018-06-10T12:26:07Z,51.2908333333333,0.5636111111111111,183,2018-06-10T12:34:26Z,51.10638888888891,2.1319444444444398,314
BAW67V,GBYGD,EGLL,KPHL,2018-06-10T12:01:00Z,2018-06-10T11:37:00Z,2018-06-10T11:40:00Z,IFR,B744,H,09R,546,DEP,219170981,2018-06-10T12:11:45Z,51.599722222222205,-1.5119444444444397,158,2018-06-10T12:19:59Z,51.900277777777795,-3.0558333333333296,293
BAW816,GEUUL,EGLL,EKCH,2018-06-10T12:03:00Z,2018-06-10T11:44:00Z,2018-06-10T11:45:00Z,IFR,A320,MJ,09R,547L,DEP,219171082,2018-06-10T12:12:27Z,51.86666666666669,0.41166666666666707,186,2018-06-10T12:20:39Z,52.1786111111111,1.9874999999999998,305
BAW64CF,GBZHB,EGLL,LIRF,2018-06-10T12:26:00Z,2018-06-10T11:59:00Z,2018-06-10T11:45:00Z,IFR,B763,H,09R,513,DEP,219171011,2018-06-10T12:34:57Z,51.35777777777779,0.5891666666666668,152,2018-06-10T12:43:02Z,51.0358333333333,2.10583333333333,330
BAW73,GZBKF,EGLL,OMAA,2018-06-10T14:36:00Z,2018-06-10T14:15:00Z,2018-06-10T11:45:00Z,IFR,B789,H,09R,538,DEP,219174678,2018-06-10T14:45:29Z,51.3455555555555,0.585,122,2018-06-10T14:53:13Z,51.1580555555555,2.15305555555556,261
AAL39,N735AT,EGLL,KMIA,2018-06-10T12:06:00Z,2018-06-10T11:43:00Z,2018-06-10T11:50:00Z,IFR,B77W,H,09R,336,DEP,219171215,2018-06-10T12:16:17Z,51.5936111111111,-1.5144444444444398,162,2018-06-10T12:24:22Z,51.85916666666669,-3.0722222222222197,307
DAL11,N178DN,EGLL,KMSP,2018-06-10T12:12:00Z,2018-06-10T11:49:00Z,2018-06-10T11:55:00Z,IFR,B763,H,09R,320,DEP,219171338,2018-06-10T12:23:07Z,52.1405555555556,-0.559722222222222,182,2018-06-10T12:31:48Z,53.065000000000005,-1.28416666666667,301
BAW874,GEUYX,EGLL,LHBP,2018-06-10T12:46:00Z,2018-06-10T11:55:00Z,2018-06-10T11:55:00Z,IFR,A320,MJ,09R,309,DEP,219171312,2018-06-10T12:54:38Z,51.362500000000004,0.5902777777777779,124,2018-06-10T13:03:00Z,51.22333333333331,2.1736111111111103,241
THY2MY,TCJTR,EGLL,LTBA,2018-06-10T12:16:00Z,2018-06-10T11:54:00Z,2018-06-10T11:55:00Z,IFR,A321,MJ,09R,218R,DEP,219171379,2018-06-10T12:26:11Z,50.8347222222222,-0.18416666666666698,182,2018-06-10T12:34:42Z,50.0002777777778,0.7466666666666669,292
BAW984G,GEUYB,EGLL,EDDT,2018-06-10T12:10:00Z,2018-06-10T11:55:00Z,2018-06-10T11:55:00Z,IFR,A320,MJ,09R,521,DEP,219171317,2018-06-10T12:19:07Z,51.910833333333294,0.35555555555555596,157,2018-06-10T12:27:47Z,52.1897222222222,1.98138888888889,293
BAW107,GYMMH,EGLL,OMDB,2018-06-10T12:37:00Z,2018-06-10T11:54:00Z,2018-06-10T11:55:00Z,IFR,B772,H,09R,563,DEP,219171333,2018-06-10T12:46:28Z,51.35472222222219,0.5872222222222219,113,2018-06-10T12:54:49Z,51.19444444444439,2.1636111111111105,292
BAW842P,GEUUD,EGLL,LDSP,2018-06-10T12:22:00Z,2018-06-10T11:59:00Z,2018-06-10T12:00:00Z,IFR,A320,MJ,09R,517,DEP,219171455,2018-06-10T12:30:34Z,50.822500000000005,-0.265833333333333,190,2018-06-10T12:39:21Z,49.9630555555555,0.6272222222222219,270
BAW438,GEUPZ,EGLL,EHAM,2018-06-10T12:31:00Z,2018-06-10T12:14:00Z,2018-06-10T12:00:00Z,IFR,A319,MJ,09R,512,DEP,219171567,2018-06-10T12:39:20Z,51.852222222222196,0.426111111111111,138,2018-06-10T12:47:28Z,52.12638888888891,2.02222222222222,230
BAW35,GZBKH,EGLL,VOMM,2018-06-10T15:37:00Z,2018-06-10T14:15:00Z,2018-06-10T12:00:00Z,IFR,B789,H,09R,544,DEP,219175489,2018-06-10T15:45:16Z,51.3080555555555,0.5713888888888891,116,2018-06-10T15:53:15Z,51.1372222222222,2.1441666666666706,251
ACA823,CFSLU,EGLL,CYYT,2018-06-10T12:19:00Z,2018-06-10T11:58:00Z,2018-06-10T12:00:00Z,IFR,B38M,MJ,09R,225,DEP,219171452,2018-06-10T12:29:10Z,51.6002777777778,-1.51222222222222,178,2018-06-10T12:37:45Z,51.8888888888889,-3.06083333333333,300
MEA202,ODMEA,EGLL,OLBA,2018-06-10T12:20:00Z,2018-06-10T11:57:00Z,2018-06-10T12:00:00Z,IFR,A332,H,09R,327,DEP,219171525,2018-06-10T12:29:11Z,51.3722222222222,0.5933333333333329,166,2018-06-10T12:37:33Z,51.176111111111105,2.1602777777777806,284
BAW368,GEUUC,EGLL,LFML,2018-06-10T12:32:00Z,2018-06-10T12:16:00Z,2018-06-10T12:05:00Z,IFR,A320,MJ,09R,303L,DEP,219171707,2018-06-10T12:41:27Z,50.82166666666669,-0.27444444444444405,168,2018-06-10T12:49:59Z,49.852777777777796,0.113333333333333,296
ICE451,TFISO,EGLL,BIKF,2018-06-10T13:31:00Z,2018-06-10T13:13:00Z,2018-06-10T12:05:00Z,IFR,B763,H,09R,246,DEP,219173413,2018-06-10T13:41:24Z,52.1436111111111,-0.45611111111111097,180,2018-06-10T13:49:36Z,53.0797222222222,-1.2066666666666699,303
ACA851,CFVLZ,EGLL,CYYC,2018-06-10T12:24:00Z,2018-06-10T12:01:00Z,2018-06-10T12:05:00Z,IFR,B789,H,09R,241,DEP,219171758,2018-06-10T12:34:13Z,51.5897222222222,-1.5172222222222198,149,2018-06-10T12:42:16Z,51.9308333333333,-3.045,248
BAW82GR,GBNWX,EGLL,LGAV,2018-06-10T13:03:00Z,2018-06-10T12:27:00Z,2018-06-10T12:05:00Z,IFR,B763,H,09R,534,DEP,219172300,2018-06-10T13:11:19Z,51.31083333333329,0.5725,171,2018-06-10T13:19:13Z,51.0586111111111,2.11555555555556,298
SHT8Y,GMEDM,EGLL,EGPH,2018-06-10T12:28:00Z,2018-06-10T12:04:00Z,2018-06-10T12:05:00Z,IFR,A321,MJ,09R,503,DEP,219171722,2018-06-10T12:37:30Z,52.1436111111111,-0.450555555555556,189,2018-06-10T12:46:34Z,53.022777777777804,-1.4847222222222198,318
BAW9L,GVIIG,EGLL,CYYZ,2018-06-10T12:36:00Z,2018-06-10T12:11:00Z,2018-06-10T12:10:00Z,IFR,B772,H,09R,537,DEP,219171780,2018-06-10T12:46:37Z,51.54444444444439,-1.525,143,2018-06-10T12:55:44Z,51.9277777777778,-3.0441666666666705,284
SHT86Y,GEUOG,EGLL,EGAC,2018-06-10T12:23:00Z,2018-06-10T12:06:00Z,2018-06-10T12:10:00Z,IFR,A319,MJ,09R,519,DEP,219171798,2018-06-10T12:32:15Z,52.13250000000001,-0.270555555555555,185,2018-06-10T12:42:17Z,53.0111111111111,-1.53138888888889,340
